EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,Target
4403.589844,4607.179688,4193.846191,4339.487305,4256.922852,4159.487305,4173.846191,4168.205078,4145.128418,4110.256348,4181.538574,4221.025879,4171.282227,4332.307617,1
4405.641113,4557.436035,4196.410156,4328.205078,4194.871582,4141.538574,4135.897461,4148.205078,4135.897461,4113.846191,4189.230957,4242.05127,4213.846191,4349.743652,1
4438.974121,4661.538574,4197.436035,4354.358887,4199.487305,4156.410156,4147.179688,4154.871582,4141.538574,4101.538574,4167.179688,4239.487305,4180,4368.205078,1
4399.487305,4662.05127,4197.94873,4351.794922,4223.077148,4147.179688,4152.820313,4148.205078,4128.205078,4079.487061,4143.589844,4188.205078,4135.384766,4322.05127,1
4462.563965,4520.512695,4199.487305,4321.025879,4215.897461,4160,4164.615234,4158.461426,4161.538574,4156.410156,4247.179688,4293.846191,4338.974121,4456.922852,1
4480.512695,4491.282227,4208.717773,4331.794922,4205.128418,4180.512695,4169.743652,4182.05127,4188.717773,4182.05127,4273.846191,4312.820313,4361.538574,4455.897461,1
4456.410156,4512.820313,4200,4301.025879,4110.256348,4161.538574,4169.743652,4153.333496,4161.025879,4143.077148,4233.333496,4265.128418,4310.256348,4409.743652,1
4444.615234,4611.282227,4181.025879,4346.666504,4185.641113,4159.487305,4166.153809,4174.871582,4128.205078,4008.718018,4182.563965,4314.358887,4197.436035,4385.128418,1
4250.769043,4164.102539,4211.282227,4089.230713,4987.179688,4217.94873,4249.230957,4233.846191,4242.05127,4323.589844,4089.743652,4267.179688,4366.153809,4220,1
4546.666504,4493.333496,4231.282227,3949.230713,4033.846191,4078.461426,4168.717773,4156.922852,4116.410156,3834.871826,4119.487305,4400.512695,4176.410156,4434.871582,1
4442.563965,4638.461426,4197.436035,4352.307617,4226.153809,4156.922852,4161.538574,4146.153809,4137.436035,4101.025879,4186.153809,4241.025879,4196.922852,4411.794922,1
4397.94873,4632.820313,4187.692383,4312.820313,4183.589844,4136.922852,4138.461426,4142.05127,4151.282227,4096.922852,4149.230957,4211.794922,4149.743652,4313.333496,1
4377.436035,4663.589844,4193.333496,4345.641113,4202.05127,4153.846191,4162.563965,4149.743652,4128.717773,4089.230713,4129.230957,4209.743652,4104.615234,4304.615234,1
4487.179688,4522.563965,4198.461426,4324.102539,4196.410156,4171.282227,4179.487305,4172.820313,4165.128418,4157.94873,4263.589844,4297.94873,4356.410156,4472.307617,1
4626.153809,4707.692383,4232.820313,4321.025879,5254.871582,4175.897461,4234.358887,4226.666504,4236.410156,4365.641113,4210.256348,4392.307617,4561.025879,4524.615234,1
4430.256348,4621.025879,4187.179688,4341.025879,4197.436035,4144.102539,4137.94873,4144.102539,4130.769043,4117.94873,4182.563965,4233.333496,4194.358887,4358.974121,1
4460.512695,4623.077148,4198.974121,4346.666504,4202.05127,4165.641113,4157.94873,4156.410156,4148.717773,4122.05127,4204.615234,4274.871582,4238.461426,4410.256348,1
4472.820313,4533.846191,4244.615234,4330.256348,4186.153809,4144.102539,4146.153809,4160,4145.641113,4134.871582,4243.077148,4277.436035,5077.436035,4486.153809,1
4481.538574,4438.461426,4219.487305,4295.384766,4172.307617,4163.077148,4171.282227,4178.974121,4172.820313,4198.974121,4293.333496,4314.358887,4484.615234,4454.358887,1
4386.153809,4511.794922,4196.410156,4303.077148,4170.256348,4140.512695,4142.05127,4142.05127,4134.871582,4133.333496,4227.179688,4257.94873,4305.641113,4374.871582,1
4504.102539,4625.641113,4192.820313,4346.666504,4193.846191,4159.487305,4164.615234,4147.692383,4128.717773,4108.205078,4207.179688,4276.922852,4267.692383,4446.666504,1
4496.410156,4644.615234,4194.358887,4362.05127,4167.179688,4156.410156,4162.05127,4150.256348,4136.922852,4110.769043,4206.666504,4266.666504,4273.846191,4439.487305,1
